CRN	one	r0	r1	r2	r3	score	hasAM	unique
2564	0.5463673442256004	0.89802304	0.01215031	80.43606603	0.01454662	0.9802580516898434	False	True
3299	0.7636249047747865	0.01013944	29.19198619	77.81913059	0.43251644	0.980197521832438	False	False
2654	0.7636249047026518	30.04901559	0.99963215	0.01499724	94.53023471	0.9801447039013742	False	False
3859	0.5463673442256004	0.82602109	0.01241571	95.88537669	0.2715491	0.9801017159893756	False	False
4227	0.7636249047026518	1.1746516000000002	5.90216946	0.01080139	83.8424	0.9800108023251968	False	False
3511	0.16572338173142964	0.01030768	0.0950291	98.00674661	0.56984611	0.9800091215133394	False	False
2634	0.7636249047747865	0.01064775	17.72589376	85.68311086	0.43140336	0.9799672911477068	False	False
4188	0.7636249047747865	0.01050001	38.86130146	82.70709847	0.42709959	0.9799194262051224	False	False
4320	0.7636249047026518	0.90417411	0.09311079	0.01574222	95.90316407	0.9798728775053588	False	False
3291	0.5613670461526874	0.04387794	0.01001502	56.09831949	2.78970636	0.979848004432967	False	False
4027	0.1657205352219792	0.010051799999999998	68.10873004	0.02092482	0.68712956	0.9798416011031629	False	False
3423	0.6469394214916221	0.43988791	0.01030933	80.84389509	0.13748853	0.9798400207750152	False	False
2826	0.7636249047747865	0.01056979	0.14737574	67.00652221	0.51877926	0.9798168116349492	False	False
2702	0.7636249047026518	7.06752791	1.05882844	0.01082996	77.34040613	0.9797906565837444	False	False
5538	0.5703514399072277	0.0264524	2.05073668	0.01024301	76.55047837	0.97977441010635	False	False
3807	0.7636249047026518	5.02444349	0.72394452	0.01484621	93.16611905	0.9797415319519848	False	False
3514	0.7636249047747865	0.01070014	8.40516228	65.99226418	0.52838159	0.9796601231234092	False	False
2644	0.4748365592198146	0.8664280000000001	0.02216617	0.01059799	91.13995569	0.9796294209859744	False	False
4412	0.7636249047747865	0.01439515	0.05712004	86.45505341	0.99636354	0.9795471146568138	False	False
2814	0.1657247014367183	0.01023458	0.01005123	99.10469140000001	1.54407291	0.9795432488111822	False	False
4277	0.7636249047747865	0.01513256	0.45399081	88.39626156	0.86674601	0.979536149597425	False	False
3908	0.7636249047026518	0.0256837	0.61434718	0.01348177	85.89777058	0.9795353447899964	False	False
2637	0.1657189903119947	0.01194044	74.39415646	0.01085759	0.64355969	0.9794240110759392	False	False
2635	0.7636249047747865	0.01431667	0.22474382	90.43603469	1.1758141000000002	0.9794127091472584	False	False
3503	0.7636249047747865	93.9085057	0.01274103	76.61004969999999	0.61659505	0.9794052951374436	False	False
3678	0.6763756075171028	0.01214865	98.20876604	0.20332897	0.67651758	0.9793684514472196	False	False
3681	0.7636249047747865	0.01395091	84.33103323	1.04982532	2.58683161	0.9793291134094048	False	False
4850	0.6179649553706232	0.675349	57.70575916	0.01161935	91.26363924	0.9793213123966452	False	True
4279	0.7636249047747865	0.01354092	16.56122028	78.38715429	0.86962263	0.9793156421001912	False	False
3308	0.4748365591476798	0.01250796	99.68437715	0.02200558	0.8924065999999999	0.9793072369588828	False	False
4930	0.6179649553706232	0.0101057	87.08540435	0.4709637	51.57035753	0.9793014250619106	False	False
3418	0.7636249047026518	0.88057578	0.01572748	0.44006246	88.81668595	0.979183074800522	False	False
3087	0.7636249047747865	35.28669891	0.0139832	78.80557259	0.87318344	0.979105122236456	False	False
3086	0.7636249047747865	1.04302997	0.01749115	97.73096198	1.0996356000000003	0.9790548741780682	False	False
2700	0.4342245121834846	0.013705600000000002	0.85789878	0.01119149	79.88052049	0.9790127334165976	False	True
5194	0.5889599042590271	0.01456879	46.90774932	91.70931733	1.28835616	0.9789871951896576	False	False
2778	0.7636249047026518	0.02564872	0.63430145	0.01318866	75.26499356	0.9789560924879448	False	False
2838	0.7636249047026518	0.17647194	0.47443621	0.01169506	76.87492806	0.9789482732250928	False	False
3507	0.7636249047747865	0.1493086	0.0109874	87.67886377	0.40103892	0.9789356901110808	False	False
2746	0.1657247014367183	1.1414636999999999	0.01131739	0.0322583	83.43301774	0.9788175301411679	False	False
4045	0.7636249047026518	12.91504191	0.78548447	0.01345453	72.74393834	0.9787851571464721	False	False
4067	0.7636249047747865	0.01145833	2.40695837	92.7463824	0.40918046	0.9787276419446244	False	False
2655	0.7636249047026518	0.07228348	0.88910664	0.01367805	74.61925804	0.9787012619772626	False	False
3084	0.7636249047747865	0.03437397	0.01099129	69.23697498	0.44116184	0.9786169024766544	False	False
5050	0.3782831400081324	47.2030009	0.84482997	0.01014707	95.82599796	0.9785651612288996	False	True
3462	0.5463673442256004	0.01300074	79.08172393	0.04193429	0.55947437	0.9785235567171756	False	False
3404	0.4526327960340982	1.48117025	0.01364543	98.67301336	0.03287778	0.9784998124093842	False	False
2736	0.7636249047026518	1.10365641	0.01606146	87.34450292	11.104301300000001	0.9784715208710932	False	False
4372	0.4342245121834846	0.01141627	0.02269401	90.41290847	1.13147774	0.9784561551590212	False	False
2900	0.4748365591476798	0.01418795	91.68721058	0.01565518	0.97294682	0.9783987713145572	False	False
3236	0.4342245121834846	0.01205127	0.01524727	93.67597282	1.40123428	0.9780966618118816	False	False
2986	0.6763756073728333	1.06092653	0.01458066	79.26250993	0.01282884	0.978035775392397	False	False
5008	0.6179649553706232	0.01168779	85.63287287	0.94266282	67.85187138	0.9779340470697876	False	False
3220	0.4526327960340982	0.82499192	0.01263055	70.60369870000001	0.04216047	0.9778181640333229	False	False
3689	0.7636249047747865	0.01951089	96.10335051	0.01265614	0.91232754	0.9776493275967304	False	False
4353	0.7636249047026518	0.09513195	1.6016257	0.0108346	88.96749977	0.9776428839435998	False	False
2643	0.7636249047026518	1.17295906	0.02694372	0.01409692	77.49389183	0.9775280288273521	False	False
3806	0.7636249047026518	7.83216389	1.0753351999999998	0.01028837	63.54624666	0.9771840507276252	False	False
4173	0.6763756075171028	0.01261317	84.94927818	0.03554492	0.44184443	0.9771453890973806	False	False
5141	0.3782831400081324	65.57224283	0.80282537	0.01119338	67.53529904	0.9770607426447286	False	False
2908	0.7636249047026518	0.40557209	0.01441832	0.01211346	79.90232797	0.977036731943298	False	False
4404	0.7636249047747865	0.01377656	5.49433705	67.98265282	1.01069428	0.9769298296113283	False	False
4286	0.7636249047026518	0.63931324	0.04476016	0.01287843	57.72020248	0.9768818595684102	False	False
4203	0.452632805123077	0.01163479	80.81547704	0.01038994	1.47509371	0.9766192064766772	False	False
4065	0.1657247014367183	0.01382346	81.90784506	0.06927029999999999	0.65269527	0.9765685132026	False	False
4379	0.7636249047026518	40.79151812	1.63658482	0.01599569	93.18996791	0.9765068578266591	False	False
4339	0.7636249047747865	0.01447731	39.91227692	99.54950541	1.86126348	0.9765046605299771	False	False
4757	0.6179649553706232	0.60550744	10.19295899	0.01026839	82.32878488	0.9764723715722669	False	False
4972	0.7633065630052626	0.01310366	69.84850039	0.46257292	23.66919796	0.9764548312859596	False	False
5283	0.3782831400081324	49.481814799999995	0.01213619	71.87908657	0.68007244	0.9763197649499408	False	False
