CRN	one	r0	r1	r2	score
42150	0.3668352164320893	73.76445921	3.17223458	0.01006706	0.5971755102799586
30670	0.3668352164320893	84.7040544	3.06351945	0.01078614	0.5971598804825594
30667	0.3668352164320893	90.78366455	7.46982584	0.01035208	0.597156515540646
42146	0.3668352164320893	73.17808975	4.01784271	0.01086556	0.597130034728901
37582	0.3668352166484935	81.70744164	0.01203213	5.08724204	0.597128597299697
20277	0.40883187207235916	78.58681744	5.89086995	0.01074648	0.5970985953743005
37838	0.3668352166484935	83.11299368	0.011852	6.03699983	0.5970850050427459
20270	0.40883187207235916	76.4618682	3.97461621	0.01183308	0.5970510442900223
31935	0.3668352164320893	66.40954022	3.3614775	0.01027716	0.5970456732085199
31938	0.3668352164320893	77.39170234	3.74821222	0.01185553	0.5970435870714907
42930	0.3668352164320893	94.52597013	2.58250672	0.01077958	0.5970281068815672
37846	0.3668352166484935	87.07646563	0.01408342	5.02751157	0.597004407297322
30609	0.3668352164320893	83.05482715	2.46251201	0.01021073	0.5969844188296652
26934	0.40883187207235916	77.46592717	4.73597627	0.01276201	0.596972936924778
48308	0.4155444315842385	86.97632373	0.01016167	6.04248667	0.596959674301402
15204	0.40883187207235916	86.29801779	6.40679405	0.01371691	0.5969425473472241
20276	0.40883187207235916	90.10783926	6.49405416	0.01457701	0.5969412746016589
42155	0.3668352164320893	83.15171156	4.51574004	0.01404161	0.5969232825353998
25848	0.40883187207235916	79.34892599	6.4852786	0.01190311	0.596918905903589
26882	0.40883187207235916	86.98363055	6.33210012	0.01465088	0.5968845091684241
26941	0.40883187207235916	77.03164786	5.97199771	0.01264422	0.596871011169352
28687	0.3668352164320893	67.17269747	3.45708372	0.01164436	0.5968540261042314
42143	0.3668352164320893	58.56338869	4.08170094	0.01042252	0.5968356574224317
28689	0.3668352164320893	77.69594113	2.71947668	0.01134644	0.5968343206212069
28686	0.3668352164320893	79.12513851	4.48019412	0.01440537	0.596806608613514
20265	0.40883187207235916	79.32868812	4.9069688	0.014608	0.5967992778472028
15203	0.40883187207235916	99.30428702	7.24312446	0.01822367	0.5967686998536763
42169	0.3668352164320893	82.26389869	8.03803568	0.01102005	0.5967673940703948
37836	0.3668352166484935	86.55054706	0.01144369	2.47721223	0.5967528545897728
15205	0.40883187207235916	65.17573786	3.71396272	0.01231001	0.5967386932395209
31934	0.3668352164320893	98.86918474	10.23202302	0.01211098	0.5967212886386823
20274	0.40883187207235916	77.66867185	4.33785606	0.01479038	0.5967149381836513
43310	0.3668352164320893	79.63973246	3.57125056	0.01407006	0.5967105837693443
26936	0.40883187207235916	76.08740597	7.1858529	0.01189053	0.5966915007370951
37839	0.3668352166484935	65.24954063	0.01139895	5.7411347	0.5966791700947154
15206	0.40883187207235916	63.83066194	3.5125452	0.01249124	0.5966565860022758
37843	0.3668352166484935	81.95762291	0.0163773	4.89164481	0.5966559119751527
31939	0.3668352164320893	77.16820541	7.28935486	0.0126443	0.5966505122561536
26940	0.40883187207235916	76.51630674	7.71809878	0.01110267	0.5966449896195372
42156	0.3668352164320893	88.3357812	2.61851112	0.01254515	0.5966339405231622
37585	0.3668352164320893	85.58025736	3.79594344	0.01560295	0.5966299458448635
20275	0.40883187207235916	83.27981367	6.29581795	0.01665362	0.59662958178077
35504	0.3668352164320893	49.09523937	3.25599568	0.01015542	0.5966118460814195
42929	0.3668352164320893	90.29335105	4.91586139	0.01810413	0.5966065978453998
43862	0.3668352164320893	85.55238587	7.60506802	0.01580362	0.5966046253206051
20267	0.40883187207235916	80.15253925	8.25375795	0.01166796	0.5966037591265025
48840	0.4155444315842385	91.21065958	0.01287208	4.76313493	0.5966004344357808
42170	0.3668352164320893	82.05261469	3.83601369	0.01560778	0.5965916176214426
38589	0.3668352166484935	83.92867687	0.01570645	3.75995984	0.5965825300132455
48293	0.4155444315842385	85.7190126	0.01246802	7.05432692	0.5965719120662835
37712	0.3668352166484935	63.4154104	0.01343398	4.14075029	0.596569294801075
35892	0.3668352164320893	54.21350306	2.45828394	0.01030369	0.5965609077655896
48828	0.4155444315842385	85.00713302	0.01194042	4.19749284	0.5965607046341278
