CRN	one	r0	r1	r2	r3	score
306	0.06555657517540778	0.01429299	15.31905251	0.05868468	30.6304703	0.4600993107154667
256	0.22179824647891536	0.0164091	22.46308389	51.83518715	0.05218486	0.460034150816867
205	0.10006126180008575	0.01075854	8.27988649	15.96341115	0.01548482	0.4598233077173077
149	0.18892167987210767	95.06549793	0.06260108	4.6878746	18.01030191	0.45979138866660607
130	0.1066191070564539	79.640929	0.02868561	3.20428444	13.76453844	0.45977029451747
204	0.13689468472387994	0.01073652	6.46406992	12.87539317	0.01320402	0.45971353276310745
143	0.2731428279013628	0.10443835	6.0174378	0.01164907	12.79593127	0.45967575499997954
65	0.24374707275519028	0.01331793	14.25790639	0.03840139	27.18801793	0.4595127340670967
156	0.35750121164716975	10.07628373	0.10357299	0.07514212	19.58742253	0.45942142041571765
102	0.14167759965591764	0.0251504	18.41568479	0.0697942	35.1759281	0.4594189663914531
155	0.2207765633936175	6.94706711	0.07151907	0.01967451	14.64109211	0.4592802916587328
223	0.3120230814836239	0.04833627	2.95552873	0.02097971	6.0766573	0.4592590658636742
324	0.11875741149737108	0.01610539	22.5200448	52.03709969	2.11606247	0.4592236307487536
202	0.0760736293515656	0.02874424	15.12867537	0.01829967	35.5227188	0.4583420032717345
258	0.11506766980653141	0.37602853	18.17043723	0.02421203	40.7508511	0.4582560971299077
158	0.1571345571398173	3.33931933	0.03061297	0.02848585	5.93937	0.45743974511136115
327	0.1779077351946832	1.80121122	0.01072368	3.59476948	0.04174865	0.4569997884058406
60	0.3370290998821955	0.01294724	14.77894958	1.00880019	2.82306853	0.45597437501611027
104	0.10854037224709379	1.92873547	0.01270003	0.0238678	3.71546348	0.45570791479643397
213	0.2259974123727284	0.01366588	1.66471173	0.22924007	3.52638556	0.4526326676342396
172	0.266540953251446	97.53314153	0.02011102	23.06287648	0.02033511	0.4523656117979157
116	0.3171156764605644	1.36140382	0.09520532	0.01130277	0.30509512	0.452176381135686
174	0.26277257335572185	64.90942925	0.025437	15.44003572	0.05211153	0.45216869279740884
3	0.3668702740658524	67.13467571	18.55482612	0.16369327	0.01777639	0.45164527120647496
171	0.30118261994711454	40.57053878	0.03686144	9.8487444	0.02813973	0.45145478929483635
54	0.32950512258521364	0.01309941	5.21730931	1.40498678	0.02549104	0.45097709312974116
89	0.31072139689872647	8.26604503	0.01708653	2.11471133	0.01199914	0.4509358676140045
173	0.2900579264242025	49.36465765	0.07561535	11.07101924	0.4014894	0.45078622435942733
170	0.36518607735735975	76.01403165	0.04140723	14.43136023	7.66598365	0.4419391775532265
11	0.29073505014794154	52.73616814	0.03538086	9.21136917	4.67195981	0.44176352034301947
353	0.31292404092992143	30.35619345	0.03745183	5.94157586	3.32579219	0.44175741298210286
9	0.24361077926276967	16.20554081	0.01024213	3.04941426	1.77499924	0.4416119236072222
362	0.2928651127687074	40.85826456	0.03203263	6.97776966	3.09494994	0.4411923064491966
199	0.25647286389650925	0.04018412	48.42888406	7.21364167	3.18622254	0.44020015352801695
315	0.05006122194995939	92.47523367	4.69492114	0.01530519	42.76849283	0.4375531686574764
737	0.045860516772672465	85.4946731	0.01174123	36.43208377	3.54387326	0.4352137391748519
68	0.11024273443378951	68.79403979	3.48482569	31.41781169	0.01989636	0.426902934974009
20	0.30001739498097163	0.03636125	37.98730761	0.03533414	58.89548351	0.42676528260712937
17	0.19809075770759108	0.02251504	10.52955085	0.04090264	17.25830352	0.4265586647285364
279	0.08213258662324824	26.87924175	0.0111795	14.12016006	2.73746255	0.4252706466494918
18	0.36458752078577444	31.60123349	0.09156406	0.21624717	60.82632241	0.4243950762554671
290	0.27456691268116756	41.77162654	0.01747042	0.1138502	5.97358556	0.4225789751656768
95	0.1737022207213427	26.15967488	13.05218234	0.01154286	2.59467881	0.4225712197420802
59	0.2852995035487959	0.03439209	84.61971307	0.04927952	11.56973726	0.4224568834189692
58	0.2749539382761982	46.18420335	0.02378166	0.23065352	6.26352046	0.4222555075728072
114	0.26784224852508665	91.0934867	0.0174349	0.01142971	13.15855047	0.42225139387216765
4	0.26705395396756054	23.04303742	0.01242529	0.06624767	3.17159544	0.42202015120899977
69	0.2586070697931631	22.78895238	0.0106564	0.03139618	3.30662954	0.42188299945729935
22	0.26594572281327744	0.03210204	58.43085492	0.01030262	7.33276836	0.42161401805590437
23	0.2818810939145161	0.02286896	20.70109069	0.01948595	2.878628	0.4214720150978595
70	0.24204454307160034	30.64084651	0.01351224	0.06967782	4.04254431	0.4210028034222998
71	0.24123315183208655	9.75573231	0.01899096	0.02556908	1.27786014	0.42000967574421577
396	0.28741954831160216	9.57413358	0.04321767	9.32929104	51.95641493	0.41548890593098703
760	0.2155883923949345	13.9332938	0.08752164	56.45773529	0.02423793	0.41538278727096367
461	0.24532518261508518	21.14734005	0.11834358	0.0105919	82.03030322	0.4152265374829857
600	0.31802898184180906	17.29089111	0.1211102	73.48652437	0.01955521	0.41522615805418994
510	0.26026617745781666	23.69662757	0.01060354	0.01461758	94.67908956	0.4151957730211253
459	0.22492463898367804	9.25908944	0.02315551	0.3048338	38.75775078	0.41519319211183187
168	0.2954332388462917	8.77510291	0.02264122	34.80113751	0.01370247	0.415177407152581
587	0.2977186227365072	0.03110722	13.29843159	55.92504711	0.01051185	0.4151021816428157
458	0.25230195484417134	0.01560667	18.25974966	0.01097315	69.22593789	0.41500617706851123
234	0.3505031529576985	16.3896696	0.01878787	0.01971708	66.36399972	0.4149992613655632
440	0.12325074839226256	14.46035406	0.0114805	0.03337309	59.93565781	0.41493359500886934
422	0.2848759310980462	16.42873773	0.01593443	0.01853048	65.92463511	0.41491347006226176
90	0.3140964872339568	0.01237189	13.48572359	0.05507102	55.36040022	0.4149090259844578
226	0.26588274917474264	11.76449381	0.0136273	0.01136091	45.99755596	0.4148285751053891
392	0.28990724767525966	10.45804202	0.14843016	0.01091918	45.13317363	0.41468788067174633
512	0.15868232560817253	10.70333453	0.01093579	43.92076673	0.0259208	0.4145827786067835
462	0.20297760547239568	13.58579595	0.01108327	0.02044772	59.27966524	0.4145785072917107
409	0.2460573139202865	5.14443005	0.08162007	19.33346123	0.02431778	0.4145415185385006
439	0.2605358161510723	18.96953272	0.0683953	0.0109142	72.59958687	0.4143569334985721
523	0.28091936699894027	0.06980514	21.46284936	0.02934419	93.73405354	0.4143131258472512
218	0.2763921632707725	4.91346351	0.01710716	5.30018331	27.74108231	0.41407961057872017
225	0.2635342355463889	16.75548649	0.0254841	0.04433327	71.09043462	0.41405661351482514
423	0.12921672360788614	25.73819239	0.02223384	0.0235263	94.50876768	0.41392368958094206
759	0.2132373616965429	3.27008038	0.01574321	13.77699852	0.02066561	0.4138302535808884
460	0.23278729579430998	3.60842003	0.01337058	0.02910036	14.72991244	0.41368466148612076
509	0.26939061845300444	12.71612534	0.07561944	0.01101507	52.43807737	0.41345809005309103
227	0.23386969686444622	9.68896063	0.01275754	0.01665499	39.79125991	0.4133276245436923
480	0.07992546533226336	0.01129978	13.69748141	0.01589905	49.36265478	0.4130480624168675
411	0.33881365839255506	82.16872347	0.01623624	0.03440026	0.07329739	0.4129602915917004
761	0.26942441870590467	10.50964954	0.02365653	43.22101273	0.08459096	0.4129443519755411
573	0.12404363908764997	15.43655616	0.0165165	0.0127241	56.24611625	0.41288523458871584
525	0.22822549068468578	24.09959187	0.02458264	0.03620255	87.35882643	0.41282384481293166
618	0.22743522208753517	0.01015782	7.29704703	0.0188079	31.24593194	0.4127627288606663
453	0.17450185558323775	3.75964282	0.01104704	0.01059468	16.34169935	0.41274401537475186
586	0.07978309657889084	0.01974838	12.35215608	0.03773499	47.13711676	0.4121092574729098
454	0.1440784704185393	7.00227622	0.01580965	0.01557749	25.1523311	0.4118864145409437
406	0.3392114294687892	8.5319947	0.01046991	0.01165765	0.02385769	0.4115382833550027
154	0.14202288368319546	0.015222	6.83802519	0.02254635	26.77199071	0.411528227409894
115	0.29095659400515805	0.02781016	2.61719265	0.01998267	10.9023744	0.41146245155264644
602	0.3378384937104251	99.39096961	0.19918976	0.03592576	0.37255793	0.41124445131512416
508	0.21136414878243842	2.42862849	0.02646812	0.1097634	11.32931524	0.41106862898846974
570	0.2159709932442747	4.09805751	0.02036095	0.01389281	16.27707122	0.41090680967628646
394	0.29565123562134593	0.51453422	0.02428202	29.15497367	42.59401797	0.4062674467960938
408	0.23102490768358702	0.03596837	27.83344054	34.28545375	0.02427457	0.406214104878191
52	0.16068925326944677	53.13743239	0.01695402	0.60869328	1.07861671	0.4048333873670458
57	0.2836334743382794	0.01435327	2.24151672	59.63802732	91.35432155	0.40412296025457856
401	0.2202007768778625	0.02663944	4.36033301	38.54759331	76.61879645	0.4011859351074007
646	0.12196220257537199	0.01269756	11.92431147	1.01511487	4.4796429	0.4010261346305229
443	0.09765215303237638	0.01518565	3.22034349	41.36937904	64.69609717	0.40095037251033716
