CRN	one	r0	r1	r2	r3	r4	score
1085	0.2966493868356971	8.89241066	0.24889546	0.01906595	1.440544	0.01330982	0.46229782741255404
628	0.30741328728750705	54.48237639	2.39053654	0.01630467	9.62078049	0.04615757	0.4622510781781795
1312	0.2938331997332363	18.33114324	0.03993138	0.64653755	3.37355517	0.01566594	0.46209679774106716
1366	0.21298067826048497	75.3832575	2.28697899	0.04474185	0.01530722	11.64176314	0.4619229050190299
863	0.14152024360938234	88.6931309	0.01272262	2.73162003	0.01135651	13.94269022	0.4619030584404304
1352	0.22287010584852257	96.8877782	0.01638187	4.22734182	0.15825973	17.83275043	0.46183236494073177
0	0.2598837232584273	0.05178321	50.91363463	1.11423681	0.01836925	7.52800999	0.46179294863671116
4	0.27408244226937317	41.97331544	0.01033696	1.37589777	0.05168147	8.23330786	0.4616049682861387
982	0.18657721459030815	65.77169329	3.10025143	0.01000705	0.03474513	13.0426758	0.46153744207913283
8	0.11453419104419803	0.0125376	99.56788274	4.12740219	0.03658052	18.10591605	0.46151690473814777
196	0.28630975277095144	0.0317704	0.01007828	38.83525088	0.01182474	80.90732362	0.4614497213876184
574	0.20292634125175602	0.0181085	0.01039829	48.94296003	0.01303878	98.78274199	0.4614084225108389
24	0.21518914536953876	0.73181978	56.86583466	0.23681838	29.96697703	20.14863899	0.4613878646114495
459	0.2628737859148544	0.01534228	14.3698567	30.23407007	0.01870276	0.0223859	0.4613852088984182
754	0.20599523211600448	36.14427734	0.01022619	0.02078961	74.84402868	0.07086053	0.4613841571015987
1250	0.14145442310072334	95.57178407	0.01073513	3.01186097	0.16230406	15.04052989	0.4613768521595286
789	0.3208653982698637	0.05650411	36.72703905	0.02440051	73.73369681	0.02086536	0.4613744351403919
377	0.35345890414223763	0.02184456	29.26936948	58.21565507	0.03061578	0.03034654	0.4613718085698004
246	0.3502563537860395	0.05701215	42.86144837	90.46927487	0.03915677	0.01809607	0.4613601714309269
536	0.14088172820830627	44.3585193	0.04781579	0.01198893	92.0967581	0.05793155	0.4613474243546236
916	0.16082330517444757	73.38523275	3.09831415	0.03730233	0.03580841	12.61372438	0.4613292102575976
806	0.33348863846386073	30.84997245	0.01601825	0.04617145	0.03029623	65.19588541	0.4612923022231751
190	0.30361376314045296	0.01630099	0.02376999	43.6159661	0.02743447	85.59454941	0.46127916410438097
1075	0.2614686583642912	23.42243557	0.03109817	0.01345034	0.01622544	47.05908878	0.46127709434194053
353	0.33831386021156823	38.61404712	0.04594084	76.71249046	0.01417424	0.01626154	0.46126654283108526
1200	0.25530835227092935	64.85486566	0.12871487	0.01555462	2.46893373	11.35569674	0.46126537193979006
501	0.2975901398507685	0.04823294	46.0684992	0.02502744	91.00104521	0.02205191	0.46126535239127225
788	0.15254781872528367	0.01101402	40.55597867	0.04117166	83.10373496	0.05734505	0.46123716609758464
438	0.30177546149869966	0.01110828	17.35104255	0.0393888	35.44504548	0.01827601	0.4612301152862461
701	0.3567289997490162	0.04998916	26.85289013	57.42415358	0.0475402	0.01357869	0.46122123506546087
463	0.34245753529321504	12.22510462	0.01069039	26.24754916	0.02545224	0.01757138	0.4612203739929257
917	0.34497746965778825	17.85496335	0.5712783	0.01345531	0.04196557	3.0072191	0.4612178686808525
576	0.27191831797936566	0.02579255	0.03324675	42.8211907	0.03899638	88.20713526	0.4611734209778767
987	0.2719309115529166	0.01743614	26.63871929	0.01283491	0.06854155	54.46273945	0.4611724269609936
495	0.27989871587340515	0.01576209	13.04460599	0.01183343	27.29462879	0.0490432	0.4611676380069401
558	0.10603676103915652	0.01584326	24.49278095	0.01173215	49.68122161	0.04989284	0.46116692812884524
453	0.1704100463981974	0.03717772	43.01182591	0.04989221	0.02069148	90.5558626	0.4611212449739712
191	0.3002839841054498	0.05915376	0.05285743	25.82072199	0.02849214	54.32483657	0.46111198806551085
918	0.3512904916576253	85.76944138	3.55200758	0.10868985	0.14830402	15.65205415	0.4611035730417416
185	0.3136062961756515	0.14607907	0.03333119	35.92960254	75.50549459	0.06786449	0.4611023823855243
469	0.12586805046154956	45.26940717	0.01118006	0.09253701	92.38626466	0.12043525	0.46110214051770076
933	0.27622083926725555	0.05575602	43.69134886	0.06983515	0.04819415	91.07320544	0.4610904457431603
120	0.06352088594579837	0.01546583	0.01387464	41.27685775	0.05192359	86.27747897	0.46103278288147526
1359	0.30195333706893623	72.81126639	3.12193269	0.01963741	15.73299377	0.02421629	0.46102957093737096
464	0.36124405814898225	13.632132	0.03672872	27.29632612	0.09999018	0.02087522	0.4610268676875381
496	0.2514685811160501	0.0212806	19.06976052	0.02590936	41.42417042	0.01553241	0.46102347028498636
510	0.31427976252319245	0.01696744	5.77242095	12.28395018	0.01492318	0.06331802	0.4610081498735386
535	0.3576517100592324	23.99677046	0.02895984	0.06835618	48.20443276	0.01142238	0.46100718680246405
784	0.3117198763983342	49.73556759	0.05129739	0.01678501	96.18158682	0.19683784	0.4609821722738239
159	0.1283194892723189	0.02272467	43.25880471	0.01377781	83.92398691	0.04812667	0.46097567834277103
553	0.25106405837129403	0.04918964	25.75521197	0.15280888	53.71313589	0.04370977	0.46095905950578653
122	0.09064610527484673	0.03200909	0.01675469	38.05400486	0.03023012	78.07502041	0.4609578478583565
782	0.35569005041733415	0.09418697	0.16980251	47.5474523	94.24893	0.02784161	0.46095023187123557
609	0.35104813901635185	16.65965078	0.08507065	0.02058524	33.91443211	0.12898188	0.46094830255515745
912	0.06104987207163623	0.01388183	38.54267059	0.01054739	0.02112596	75.93014213	0.46094175654281366
