crn	r0	r1	r2
1754	3323	0113	0100
1755	3312	0113	0100
1756	3312	0113	0111
1757	1312	0113	0111
1758	1133	0033	0002
1759	1133	0011	0002
176	0313	0312	0113
1760	1100	0111	0102
1761	1103	0111	0102
1762	1133	0111	0102
1763	1133	0111	0002
1764	0333	0013	0002
1765	3311	0111	0023
1766	3311	0113	0023
1767	3311	0113	0012
1768	3311	0113	0112
1769	3311	0113	0002
177	0323	0312	0113
1770	3313	0113	0002
1771	3313	0113	0102
1772	1311	0113	0102
1773	1311	0113	0112
1774	0311	0113	0302
1775	0313	0113	0302
1776	0333	0113	0302
1777	1333	0113	0002
1778	1223	0111	0002
1779	1223	0113	0002
178	0213	0212	0002
1780	1312	0301	0003
1781	1312	0111	0003
1782	1312	1311	0003
1783	0302	0301	0003
1784	1312	0113	0103
1785	3323	0301	0003
1786	3313	0113	0012
1787	1311	0113	0012
1788	1100	0113	0112
1789	1103	0113	0002
179	0233	0223	0002
1790	0333	0133	0302
1791	0313	0133	0002
1792	0333	0133	0002
1793	0313	0103	0002
1794	0333	0103	0002
1795	0323	0133	0001
1796	1103	0333	0112
1797	0103	0102	0001
1798	0133	0113	0302
1799	0233	0311	0002
18	0223	0133	0112
180	0233	0212	0002
1800	0233	0313	0002
1801	0323	0313	0103
1802	1333	1312	0003
1803	3323	1311	0003
1804	1323	1311	0003
1805	3323	0313	0003
1806	3323	3313	0003
1807	1133	1123	0001
1808	1133	0323	0111
1809	1133	0112	0111
181	0233	0111	0002
1810	1323	0133	0111
1811	3312	1311	0113
1812	3312	0313	0113
1813	1103	0333	0323
1814	1103	0333	0302
1815	1311	0113	0002
1816	1113	0333	0302
1817	1113	0333	0002
1818	1113	0113	0002
1819	1312	0113	0100
182	0233	0113	0002
1820	1133	0333	0112
1821	1133	0333	0323
1822	1133	0333	0002
1823	1133	1112	0001
1824	1133	0113	0002
1825	0313	0302	0103
1826	1233	1202	0012
1827	0212	0203	0102
1828	0212	0211	0102
1829	0212	0102	0200
183	0211	0111	0002
1830	0213	0212	0102
1831	2312	0302	0033
1832	2311	2302	0023
1833	1213	0222	0123
1834	0223	0312	0133
1835	1302	0003	0001
1836	1222	1200	0112
1837	1222	1203	0112
