crn	r0	r1	r2
10312	1323	1122	0112	0103
10313	0233	0113	0112	0200
10314	0312	0133	0200	0003
10315	1302	1202	0123	0111
10316	1323	1202	0123	0111
10317	1323	1223	0123	0111
10318	1302	0133	0123	0111
10319	1323	0133	0123	0111
1032	0323	0222	0113	0201
10320	1302	0111	0102	0100
10321	1323	0111	0102	0100
10322	1302	0111	0102	0300
10323	1323	0111	0102	0300
10324	2302	0111	0102	0300
10325	1202	0111	0102	0300
10326	2300	0111	0102	0300
10327	2303	0111	0102	0300
10328	2301	0111	0102	0300
10329	2311	0111	0102	0300
1033	0123	0111	0203	0200
10330	2313	0111	0102	0300
10331	2333	0111	0102	0300
10332	2322	0111	0102	0300
10333	2322	0111	0102	0100
10334	1222	0111	0102	0100
10335	1222	1303	0123	0111
10336	1202	1300	0123	0111
10337	1202	1301	0123	0111
10338	1223	1300	0123	0111
10339	1223	1303	0123	0111
1034	0302	0200	0023	0001
10340	1213	1303	0123	0111
10341	1233	1303	0123	0111
10342	1233	0133	0123	0111
10343	1213	0133	0123	0111
10344	1200	0133	0123	0111
10345	1201	0133	0123	0111
10346	1211	1113	0123	0111
10347	1213	1113	0123	0111
10348	1233	1113	0123	0111
10349	1203	0111	0102	0100
1035	0322	0022	0002	0001
10350	1201	0111	0102	0100
10351	1203	0133	0123	0111
10352	1233	0111	0102	0100
10353	1211	0111	0102	0100
10354	1223	1123	1103	0111
10355	1133	1102	1101	0111
10356	1133	1123	1113	0111
10357	1103	1102	0111	0103
10358	1133	1102	0133	0111
10359	1133	1123	0133	0111
1036	0322	0023	0002	0001
10360	1103	1102	0133	0112
10361	1133	1102	0133	0112
10362	1133	1123	0133	0112
10363	1333	1123	0133	0112
10364	1303	1102	0133	0112
10365	1303	1302	0133	0112
10366	1333	1302	0133	0112
10367	1311	1302	0133	0112
10368	1133	1302	0133	0112
10369	1333	1323	0133	0112
1037	0322	0012	0002	0001
10370	1333	1102	0133	0112
10371	1113	1102	0133	0112
10372	1113	1112	0133	0112
10373	1133	1112	0133	0112
10374	0333	0201	0023	0013
10375	0322	0233	0023	0001
10376	0213	0212	0002	0001
10377	0323	0113	0022	0011
10378	0323	0133	0201	0003
10379	0312	0133	0201	0003
1038	0322	0033	0002	0001
10380	0312	0311	0113	0200
10381	0312	0311	0113	0203
10382	0323	0133	0113	0200
10383	0323	0113	0111	0200
10384	0323	0113	0111	0203
10385	0323	0133	0113	0203
10386	0312	0133	0113	0200
10387	0312	0133	0113	0203
10388	0323	0123	0113	0200
10389	0323	0122	0113	0200
1039	0322	0013	0002	0001
10390	0323	0123	0111	0200
10391	0323	0122	0113	0203
10392	0323	0123	0113	0203
10393	0323	0123	0111	0203
10394	0323	0122	0113	0103
10395	0323	0122	0113	0003
10396	0312	0122	0113	0003
10397	0323	0122	0113	0033
10398	0323	0122	0113	0013
10399	0323	0122	0113	0011
104	0033	0011	0002	0001
1040	0322	0011	0002	0001
10400	0323	0122	0113	0012
10401	0323	0122	0111	0012
10402	1312	0122	0111	0012
10403	3312	0122	0111	0012
10404	3323	0122	0111	0012
10405	3311	0122	0111	0012
10406	3313	0122	0111	0012
10407	3300	0122	0111	0012
10408	3303	0122	0111	0012
10409	3301	0122	0111	0012
1041	0113	0033	0002	0001
10410	1300	0133	0111	0012
10411	1303	0133	0111	0012
10412	3300	0133	0111	0012
10413	3303	0133	0111	0012
10414	3300	0123	0111	0012
