crn	r0	r1	r2
1349	2302	0311	0111	0100
135	3323	3300	0111	0100
1350	3322	0311	0111	0100
1351	3302	0311	0111	0100
1352	3322	0312	0111	0100
1353	3302	0322	0111	0100
1354	2322	1312	0111	0100
1355	2322	1311	0111	0100
1356	2322	3311	0111	0100
1357	3322	3311	0111	0100
1358	3322	1311	0111	0100
1359	3322	1312	0111	0100
136	3323	3301	0111	0100
1360	3322	3312	0111	0100
1361	2322	3312	0111	0100
1362	2301	0111	0103	0100
1363	2312	0111	0103	0100
1364	3301	0111	0103	0100
1365	3312	0111	0103	0100
1366	3301	0311	0111	0100
1367	3312	0311	0111	0100
1368	2301	0311	0111	0100
1369	2312	0311	0111	0100
137	3323	2200	0111	0100
1370	2312	1311	0111	0100
1371	2312	3311	0111	0100
1372	2312	1312	0111	0100
1373	3312	1312	0111	0100
1374	3312	0312	0111	0100
1375	3301	0322	0111	0100
1376	3301	0312	0111	0100
1377	2301	0322	0111	0100
1378	2301	0312	0111	0100
1379	2312	0312	0111	0100
138	3323	2201	0111	0100
1380	2301	0122	0111	0100
1381	2301	0112	0111	0100
1382	2312	0122	0111	0100
1383	2312	0112	0111	0100
1384	3301	0122	0111	0100
1385	3301	0112	0111	0100
1386	3301	0111	0201	0100
1387	3301	0111	0200	0100
1388	2301	0111	0201	0100
1389	2301	0111	0200	0100
139	3312	1311	0111	0100
1390	2312	0111	0201	0100
1391	2312	0111	0200	0100
1392	2303	0111	0103	0100
1393	2313	0111	0103	0100
1394	3313	0111	0103	0100
1395	2313	0111	0201	0100
1396	2313	0111	0200	0100
1397	2313	0112	0111	0100
1398	3323	0312	0111	0100
1399	3323	0311	0111	0100
14	0111	0302	0201	0100
140	3312	1301	0111	0100
1400	2333	0312	0111	0100
1401	2313	0312	0111	0100
1402	3313	0312	0111	0100
1403	2313	0311	0111	0100
1404	3313	0311	0111	0100
1405	2303	0111	0201	0100
1406	3303	0111	0201	0100
1407	3303	0111	0200	0100
1408	3303	0311	0111	0100
1409	2303	0311	0111	0100
141	3312	1300	0111	0100
1410	2303	0322	0111	0100
1411	2303	0312	0111	0100
1412	2303	0122	0111	0100
1413	2303	0112	0111	0100
1414	3303	0122	0111	0100
1415	3303	0322	0111	0100
1416	2333	1312	0111	0100
1417	2333	1311	0111	0100
1418	2333	3312	0111	0100
1419	3323	1312	0111	0100
142	3312	3300	0111	0100
1420	3323	3322	0111	0100
1421	3323	3312	0111	0100
1422	2313	1312	0111	0100
1423	2313	1311	0111	0100
1424	2313	3311	0111	0100
1425	3313	1312	0111	0100
1426	3313	1311	0111	0100
1427	3313	3311	0111	0100
1428	3313	3312	0111	0100
1429	2302	0111	0301	0100
143	3312	3311	0111	0100
1430	2302	0111	0300	0100
1431	2312	0111	0301	0100
1432	2312	0111	0300	0100
1433	2313	0111	0301	0100
1434	2313	0111	0300	0100
1435	3302	0111	0301	0100
1436	3302	0111	0300	0100
1437	3300	0111	0301	0100
1438	3300	0111	0300	0100
1439	3303	0111	0301	0100
144	3312	3301	0111	0100
1440	3303	0111	0300	0100
1441	3301	0111	0301	0100
1442	3301	0111	0300	0100
1443	2301	0111	0301	0100
1444	2301	0111	0300	0100
1445	2303	0111	0301	0100
1446	2300	0111	0301	0100
1447	2300	0111	0300	0100
1448	2312	0111	0102	0100
1449	3312	0111	0102	0100
145	3312	1201	0111	0100
1450	3312	0111	0302	0100
1451	3302	0111	0302	0100
1452	3302	0111	0102	0100
1453	3300	0111	0102	0100
1454	3300	0111	0302	0100
1455	3301	0111	0302	0100
1456	3301	0111	0102	0100
1457	2301	0111	0102	0100
1458	2300	0111	0302	0100
1459	2302	0111	0102	0100
146	3312	1200	0111	0100
1460	2300	0111	0102	0100
1461	2313	0111	0102	0100
1462	3313	0111	0102	0100
1463	2313	0111	0302	0100
1464	2303	0111	0102	0100
1465	3303	0111	0102	0100
1466	2322	1323	0111	0100
1467	3322	1323	0111	0100
1468	2312	0323	0111	0100
1469	2201	0323	0111	0100
147	3312	2200	0111	0100
1470	2301	0323	0111	0100
1471	3323	0323	0111	0100
1472	3323	0313	0111	0100
1473	3323	0333	0111	0100
1474	3322	0313	0111	0100
1475	3322	0333	0111	0100
1476	3303	0113	0111	0100
1477	3303	0133	0111	0100
1478	3302	0333	0111	0100
1479	3300	0133	0111	0100
148	3312	2300	0111	0100
1480	3300	0313	0111	0100
1481	2203	0113	0111	0100
1482	2203	0133	0111	0100
1483	2303	0133	0111	0100
1484	2200	0113	0111	0100
1485	2300	0113	0111	0100
1486	2200	0133	0111	0100
1487	2300	0133	0111	0100
1488	2202	0133	0111	0100
1489	2302	0133	0111	0100
149	3312	2211	0111	0100
1490	2202	0113	0111	0100
1491	2233	0313	0111	0100
1492	2203	0313	0111	0100
1493	2303	0313	0111	0100
1494	2300	0313	0111	0100
1495	2322	0333	0111	0100
1496	2302	0333	0111	0100
1497	2202	0333	0111	0100
1498	2202	0313	0111	0100
1499	2200	0313	0111	0100
